Date,Open,High,Low,Close,Adj Close,Volume
2021-09-03,49.450001,49.709999,48.799999,49.029999,49.029999,735700
2021-09-07,48.980000,48.980000,47.169998,47.299999,47.299999,1190100
2021-09-08,47.070000,47.349998,45.830002,46.549999,46.549999,1452800
2021-09-09,46.430000,47.590000,46.430000,46.980000,46.980000,1058500
2021-09-10,47.259998,47.430000,46.689999,46.740002,46.740002,832100
2021-09-13,46.980000,47.110001,45.480000,46.130001,46.130001,1913500
2021-09-14,46.080002,46.709999,45.520000,46.169998,46.169998,986500
2021-09-15,46.169998,46.209999,44.860001,45.410000,45.410000,1542500
2021-09-16,45.470001,46.110001,44.919998,45.000000,45.000000,1182800
2021-09-17,45.070000,46.000000,44.770000,45.220001,45.220001,2042000
2021-09-20,44.160000,44.950001,43.650002,44.830002,44.830002,1553700
2021-09-21,45.310001,45.860001,44.419998,44.459999,44.459999,1249400
2021-09-22,44.779999,46.630001,44.779999,45.849998,45.849998,1677700
2021-09-23,46.279999,47.290001,46.090000,46.119999,46.119999,1407900
2021-09-24,44.750000,44.779999,43.000000,44.410000,44.410000,2473500
2021-09-27,44.320000,44.970001,43.619999,43.740002,43.740002,1975500
2021-09-28,43.660000,44.099998,43.029999,43.150002,43.150002,1676600
2021-09-29,43.380001,43.669998,42.799999,42.880001,42.880001,991900
2021-09-30,43.070000,44.299999,42.000000,42.119999,42.119999,2892600
2021-10-01,42.299999,43.139999,41.200001,42.490002,42.490002,2262700
2021-10-04,42.369999,42.790001,41.590000,41.740002,41.740002,1820100
2021-10-05,41.500000,42.470001,41.349998,41.830002,41.830002,1495400
2021-10-06,41.209999,41.740002,40.910000,41.619999,41.619999,1210200
2021-10-07,42.150002,42.910000,42.040001,42.509998,42.509998,1043600
2021-10-08,42.630001,42.830002,41.810001,41.970001,41.970001,1258900
2021-10-11,41.950001,42.450001,41.029999,41.080002,41.080002,706200
2021-10-12,40.910000,41.590000,40.849998,41.230000,41.230000,1091400
2021-10-13,41.540001,42.549999,41.180000,42.450001,42.450001,1163200
2021-10-14,43.150002,44.459999,42.799999,43.910000,43.910000,2999200
2021-10-15,44.310001,45.040001,44.099998,44.610001,44.610001,1597100
2021-10-18,44.189999,44.310001,43.099998,43.660000,43.660000,1203100
2021-10-19,45.389999,45.389999,43.279999,43.630001,43.630001,1053200
2021-10-20,44.000000,44.939999,43.860001,44.160000,44.160000,1641800
2021-10-21,44.340000,45.779999,44.299999,45.669998,45.669998,1743100
2021-10-22,45.230000,46.029999,44.820000,45.779999,45.779999,1447600
2021-10-25,46.029999,46.380001,45.599998,46.250000,46.250000,1713700
2021-10-26,46.380001,46.939999,45.630001,46.119999,46.119999,1643500
2021-10-27,46.070000,46.270000,44.730000,44.810001,44.810001,1554700
2021-10-28,45.380001,46.029999,44.980000,45.930000,45.930000,2587900
2021-10-29,49.480000,50.810001,45.430000,46.209999,46.209999,5664400
2021-11-01,46.060001,48.250000,46.060001,47.790001,47.790001,2432900
2021-11-02,46.360001,47.430000,45.369999,45.430000,45.430000,2105600
2021-11-03,45.740002,47.919998,45.740002,47.580002,47.580002,2045000
2021-11-04,47.810001,48.389999,47.049999,47.139999,47.139999,1248900
2021-11-05,47.730000,48.689999,47.730000,48.000000,48.000000,944100
2021-11-08,47.959999,48.189999,46.610001,47.410000,47.410000,1189500
2021-11-09,47.349998,47.970001,47.040001,47.400002,47.400002,1095700
2021-11-10,46.930000,48.029999,46.730000,47.439999,47.439999,1046900
2021-11-11,47.790001,47.840000,47.259998,47.360001,47.360001,438900
2021-11-12,47.470001,47.970001,47.369999,47.689999,47.689999,670800
2021-11-15,47.799999,47.849998,46.669998,46.930000,46.930000,850200
2021-11-16,47.279999,48.599998,47.099998,48.009998,48.009998,1039500
2021-11-17,47.910000,48.080002,47.180000,47.590000,47.590000,833900
2021-11-18,48.119999,48.689999,47.410000,47.849998,47.849998,1282400
2021-11-19,47.380001,47.889999,47.020000,47.790001,47.790001,1092700
2021-11-22,48.020000,49.040001,47.540001,48.730000,48.730000,1264700
2021-11-23,48.340000,48.500000,47.029999,47.259998,47.259998,1903600
2021-11-24,45.959999,47.910000,45.560001,47.770000,47.770000,1138400
2021-11-26,46.000000,46.750000,45.759998,46.000000,46.000000,830400
2021-11-29,46.740002,47.240002,45.740002,46.520000,46.520000,1308700
2021-11-30,46.070000,46.090000,44.200001,44.919998,44.919998,1662000
2021-12-01,46.599998,47.410000,44.520000,44.580002,44.580002,1602000
2021-12-02,44.639999,45.380001,44.070000,45.029999,45.029999,1419900
