Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,5.870000,5.930000,5.710000,5.880000,5.880000,341700
2017-02-24,5.830000,5.870000,5.720000,5.850000,5.850000,266500
2017-02-27,5.810000,6.040000,5.810000,5.830000,5.830000,238300
2017-02-28,5.800000,5.810000,5.580000,5.620000,5.620000,469000
2017-03-01,5.710000,5.780000,5.590000,5.670000,5.670000,310800
2017-03-02,5.650000,5.720000,5.520000,5.530000,5.530000,299300
2017-03-03,5.520000,5.570000,5.280000,5.380000,5.380000,520700
2017-03-06,5.360000,5.430000,5.210000,5.230000,5.230000,326700
2017-03-07,5.200000,5.270000,5.040000,5.090000,5.090000,339800
2017-03-08,5.100000,5.140000,4.980000,5.100000,5.100000,308600
2017-03-09,5.070000,5.150000,4.950000,5.040000,5.040000,301600
2017-03-10,5.050000,5.170000,5.000000,5.090000,5.090000,265400
2017-03-13,5.100000,5.200000,5.020000,5.130000,5.130000,274900
2017-03-14,5.090000,5.200000,5.050000,5.150000,5.150000,228600
2017-03-15,5.180000,5.380000,5.160000,5.350000,5.350000,541400
2017-03-16,5.000000,5.000000,4.210000,4.450000,4.450000,2607500
2017-03-17,4.530000,4.990000,4.450000,4.960000,4.960000,1361200
2017-03-20,4.880000,4.880000,4.530000,4.750000,4.750000,835300
2017-03-21,4.750000,4.750000,4.600000,4.630000,4.630000,549600
2017-03-22,4.600000,4.600000,4.330000,4.600000,4.600000,519900
2017-03-23,4.770000,5.030000,4.710000,4.880000,4.880000,1152100
2017-03-24,4.890000,4.910000,4.590000,4.700000,4.700000,603600
2017-03-27,4.640000,4.770000,4.530000,4.590000,4.590000,461600
2017-03-28,4.570000,4.620000,4.470000,4.590000,4.590000,363900
2017-03-29,4.610000,4.750000,4.580000,4.710000,4.710000,324600
2017-03-30,4.700000,4.760000,4.610000,4.730000,4.730000,387800
2017-03-31,4.700000,4.720000,4.600000,4.660000,4.660000,429800
2017-04-03,4.690000,4.720000,4.570000,4.660000,4.660000,436700
2017-04-04,4.660000,4.720000,4.510000,4.540000,4.540000,321800
2017-04-05,4.550000,4.590000,4.500000,4.520000,4.520000,428400
2017-04-06,4.560000,4.620000,4.450000,4.610000,4.610000,284400
2017-04-07,4.580000,4.740000,4.540000,4.580000,4.580000,390100
2017-04-10,4.590000,4.690000,4.590000,4.630000,4.630000,332000
2017-04-11,4.630000,4.800000,4.500000,4.740000,4.740000,427500
2017-04-12,4.710000,4.790000,4.590000,4.660000,4.660000,338700
2017-04-13,4.630000,4.760000,4.580000,4.610000,4.610000,260100
2017-04-17,4.640000,4.830000,4.610000,4.820000,4.820000,377100
2017-04-18,4.820000,4.850000,4.750000,4.840000,4.840000,268800
2017-04-19,4.850000,5.040000,4.820000,4.890000,4.890000,450300
